Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::lower_bound(std::string const&)
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_create_node(std::pair<std::string const, jsonxx::Value*> const&)
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> >*)
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_insert_unique_(std::_Rb_tree_const_iterator<std::pair<std::string const, jsonxx::Value*> >, std::pair<std::string const, jsonxx::Value*> const&)
  0.00    136.50     0.00    89416     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::string const, jsonxx::Value*> >, std::string const&)
  0.00    136.50     0.00    85676     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::end() const
  0.00    136.50     0.00    84222     0.00     0.00  __gnu_cxx::new_allocator<jsonxx::Value*>::max_size() const
  0.00    136.50     0.00    83786     0.00     0.00  __gnu_cxx::__normal_iterator<jsonxx::Value* const*, std::vector<jsonxx::Value*, std::allocator<jsonxx::Value*> > >::base() const
  0.00    136.50     0.00    83620     0.00     0.00  jsonxx::Value::import(jsonxx::Value const&)
  0.00    136.50     0.00    83620     0.00     0.00  jsonxx::Value::Value(jsonxx::Value const&)
  0.00    136.50     0.00    80201     0.00     0.00  bool __gnu_cxx::operator!=<jsonxx::Value**, std::vector<jsonxx::Value*, std::allocator<jsonxx::Value*> > >(__gnu_cxx::__normal_iterator<jsonxx::Value**, std::vector<jsonxx::Value*, std::allocator<jsonxx::Value*> > > const&, __gnu_cxx::__normal_iterator<jsonxx::Value**, std::vector<jsonxx::Value*, std::allocator<jsonxx::Value*> > > const&)
  0.00    136.50     0.00    78971     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long>, std::_Select1st<std::pair<std::string const, unsigned long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long> > >::_S_left(std::_Rb_tree_node_base const*)
  0.00    136.50     0.00    78380     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::find(std::string const&)
  0.00    136.50     0.00    78380     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::find(std::string const&)
  0.00    136.50     0.00    74664     0.00     0.00  void std::_Destroy_aux<true>::__destroy<jsonxx::Value**>(jsonxx::Value**, jsonxx::Value**)
  0.00    136.50     0.00    74664     0.00     0.00  void std::_Destroy<jsonxx::Value**>(jsonxx::Value**, jsonxx::Value**)
  0.00    136.50     0.00    74664     0.00     0.00  void std::_Destroy<jsonxx::Value**, jsonxx::Value*>(jsonxx::Value**, jsonxx::Value**, std::allocator<jsonxx::Value*>&)
  0.00    136.50     0.00    70210     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::size() const
  0.00    136.50     0.00    64964     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long>, std::_Select1st<std::pair<std::string const, unsigned long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00    136.50     0.00    61404     0.00     0.00  std::_Select1st<std::pair<std::string const, int> >::operator()(std::pair<std::string const, int> const&) const
  0.00    136.50     0.00    58864     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::end() const
  0.00    136.50     0.00    58055     0.00     0.00  std::vector<jsonxx::Value*, std::allocator<jsonxx::Value*> >::begin()
  0.00    136.50     0.00    56148     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<jsonxx::Value*> >::max_size(std::allocator<jsonxx::Value*> const&)
  0.00    136.50     0.00    56148     0.00     0.00  std::_Vector_base<jsonxx::Value*, std::allocator<jsonxx::Value*> >::_M_get_Tp_allocator() const
  0.00    136.50     0.00    56148     0.00     0.00  std::vector<jsonxx::Value*, std::allocator<jsonxx::Value*> >::max_size() const
  0.00    136.50     0.00    56148     0.00     0.00  jsonxx::Value** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<jsonxx::Value*>(jsonxx::Value* const*, jsonxx::Value* const*, jsonxx::Value**)
  0.00    136.50     0.00    56148     0.00     0.00  jsonxx::Value** std::__uninitialized_copy<true>::__uninit_copy<jsonxx::Value**, jsonxx::Value**>(jsonxx::Value**, jsonxx::Value**, jsonxx::Value**)
  0.00    136.50     0.00    56148     0.00     0.00  jsonxx::Value** std::__copy_move_a<false, jsonxx::Value**, jsonxx::Value**>(jsonxx::Value**, jsonxx::Value**, jsonxx::Value**)
  0.00    136.50     0.00    56148     0.00     0.00  jsonxx::Value** std::__copy_move_a2<false, jsonxx::Value**, jsonxx::Value**>(jsonxx::Value**, jsonxx::Value**, jsonxx::Value**)
  0.00    136.50     0.00    56148     0.00     0.00  jsonxx::Value** std::uninitialized_copy<jsonxx::Value**, jsonxx::Value**>(jsonxx::Value**, jsonxx::Value**, jsonxx::Value**)
  0.00    136.50     0.00    56148     0.00     0.00  jsonxx::Value** std::__uninitialized_copy_a<jsonxx::Value**, jsonxx::Value**, jsonxx::Value*>(jsonxx::Value**, jsonxx::Value**, jsonxx::Value**, std::allocator<jsonxx::Value*>&)
  0.00    136.50     0.00    56148     0.00     0.00  jsonxx::Value** std::__uninitialized_move_if_noexcept_a<jsonxx::Value**, jsonxx::Value**, std::allocator<jsonxx::Value*> >(jsonxx::Value**, jsonxx::Value**, jsonxx::Value**, std::allocator<jsonxx::Value*>&)
  0.00    136.50     0.00    56148     0.00     0.00  jsonxx::Value** std::copy<jsonxx::Value**, jsonxx::Value**>(jsonxx::Value**, jsonxx::Value**, jsonxx::Value**)
  0.00    136.50     0.00    56016     0.00     0.00  jsonxx::parse_value(std::istream&, jsonxx::Value&)
  0.00    136.50     0.00    56016     0.00     0.00  jsonxx::Value::parse(std::istream&)
  0.00    136.50     0.00    56016     0.00     0.00  jsonxx::Value::parse(std::istream&, jsonxx::Value&)
  0.00    136.50     0.00    56016     0.00     0.00  jsonxx::Value::Value()
  0.00    136.50     0.00    55926     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, int> >::_M_valptr() const
  0.00    136.50     0.00    55926     0.00     0.00  std::pair<std::string const, int> const* std::__addressof<std::pair<std::string const, int> const>(std::pair<std::string const, int> const&)
  0.00    136.50     0.00    51568     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, jsonxx::Value*> >::operator++()
  0.00    136.50     0.00    50384     0.00     0.00  jsonxx::Object::Object()
  0.00    136.50     0.00    50384     0.00     0.00  jsonxx::Object::~Object()
  0.00    136.50     0.00    50384     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > >::new_allocator()
  0.00    136.50     0.00    50384     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > >::~new_allocator()
  0.00    136.50     0.00    50384     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > >::allocator()
  0.00    136.50     0.00    50384     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > >::~allocator()
  0.00    136.50     0.00    50384     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::map()
  0.00    136.50     0.00    50384     0.00     0.00  std::map<std::string, jsonxx::Value*, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::~map()
  0.00    136.50     0.00    50384     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_Rb_tree_impl<std::less<std::string>, false>::_M_initialize()
